link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_link_id,macro_node_id,movement_id,mvmt_txt_id,ctrl_type,allowed_uses
0,0,100,1,568.58,4,1200,50,,0,"LINESTRING (-111.9261189 33.4219342, -111.9200030 33.4219390)",0,,,,,auto
1,101,1,1,568.58,4,1200,50,,0,"LINESTRING (-111.9200032 33.4220968, -111.9261190 33.4220920)",1,,,,,auto
2,2,200,1,569.23,4,1200,50,,0,"LINESTRING (-111.9264636 33.4220911, -111.9325864 33.4220637)",2,,,,,auto
3,201,3,1,569.23,4,1200,50,,0,"LINESTRING (-111.9325854 33.4219059, -111.9264626 33.4219333)",3,,,,,auto
4,4,300,1,570.36,3,1200,50,,0,"LINESTRING (-111.9262155 33.4221392, -111.9262069 33.4272837)",4,,,,,auto
5,301,5,1,570.36,3,1200,50,,0,"LINESTRING (-111.9263575 33.4272839, -111.9263661 33.4221393)",5,,,,,auto
6,6,400,1,570.13,3,1200,50,,0,"LINESTRING (-111.9263663 33.4218867, -111.9263653 33.4167442)",6,,,,,auto
7,401,7,1,570.13,3,1200,50,,0,"LINESTRING (-111.9262147 33.4167443, -111.9262157 33.4218867)",7,,,,,auto
8,1,2,1,32.04,2,1200,50,,0,"LINESTRING (-111.9261190 33.4220920, -111.9264636 33.4220911)",,0,0,WBT,,auto
9,1,4,1,10.38,1,1200,50,,0,"LINESTRING (-111.9261190 33.4220920, -111.9262155 33.4221392)",,0,1,WBR,,auto
10,1,6,1,32.35,1,1200,50,,0,"LINESTRING (-111.9261190 33.4220920, -111.9263663 33.4218867)",,0,2,WBL,,auto
11,3,0,1,31.96,2,1200,50,,0,"LINESTRING (-111.9264626 33.4219333, -111.9261189 33.4219342)",,0,3,EBT,,auto
12,3,4,1,32.38,1,1200,50,,0,"LINESTRING (-111.9264626 33.4219333, -111.9262155 33.4221392)",,0,4,EBL,,auto
13,3,6,1,10.34,1,1200,50,,0,"LINESTRING (-111.9264626 33.4219333, -111.9263663 33.4218867)",,0,5,EBR,,auto
14,5,0,1,32.34,1,1200,50,,0,"LINESTRING (-111.9263661 33.4221393, -111.9261189 33.4219342)",,0,6,SBL,,auto
15,5,2,1,10.52,1,1200,50,,0,"LINESTRING (-111.9263661 33.4221393, -111.9264636 33.4220911)",,0,7,SBR,,auto
16,5,6,1,28.01,2,1200,50,,0,"LINESTRING (-111.9263661 33.4221393, -111.9263663 33.4218867)",,0,8,SBT,,auto
17,7,0,1,10.43,1,1200,50,,0,"LINESTRING (-111.9262157 33.4218867, -111.9261189 33.4219342)",,0,9,NBR,,auto
18,7,2,1,32.32,1,1200,50,,0,"LINESTRING (-111.9262157 33.4218867, -111.9264636 33.4220911)",,0,10,NBL,,auto
19,7,4,1,27.99,2,1200,50,,0,"LINESTRING (-111.9262157 33.4218867, -111.9262155 33.4221392)",,0,11,NBT,,auto